"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:46:00.138Z","277ACAC128203005","0","118","01BA","1137111","2","7","1137418","0e","255","ff1677912df5cc0e00115b0a001159d701ba7602001159e001ba1601001159e0481f7602001159e093283302001159ea01ba3302001159ea481f9302ffffff","2021-04-05T17:55:22.138Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:00.159Z","277ACAC128203005","0","51","481F","1137204","2","1","1137420","0e","91","5b1677912df5cc0e00115b0c00115a349328760200115a34012d1a0200115a34481f330200115a3e01ba930200115a3e012d330200115a3e481f9302ffffff","2021-04-05T17:51:07.159Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:01.957Z","277ACAC128203005","0","147","9328","1137055","2","20","1137417","0e","255","ff1677912df5cc0e00115b090011599f481f93020011599f93289302001159a801ba1601001159a8481f7602001159a893285b02001159b201ba3302ffffff","2021-04-05T17:56:18.957Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:04.416Z","277ACAC128203005","0","147","481F","1137111","2","8","1137418","0e","255","ff1677912df5cc0e00115b0a001159c4481f3302001159c401ba1601001159ce01ba7602001159ce481f9302001159d793289302001159d7481f9302ffffff","2021-04-05T17:55:26.416Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:07.277Z","277ACAC128203005","0","91","01BA","1137055","2","21","1137416","0e","255","ff1677912df5cc0e00115b080011598c932833020011598c481f1a0200115996481f930200115996932893020011599601ba33020011599f01ba5b02ffffff","2021-04-05T17:56:23.277Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:09.138Z","277ACAC128203005","0","51","9328","1137120","2","7","1137418","0e","255","ff1677912df5cc0e00115b0a001159d701ba7602001159e001ba1601001159e0481f7602001159e093283302001159ea01ba3302001159ea481f9302ffffff","2021-04-05T17:55:22.138Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:10.159Z","277ACAC128203005","0","147","481F","1137214","2","1","1137420","0e","91","5b1677912df5cc0e00115b0c00115a349328760200115a34012d1a0200115a34481f330200115a3e01ba930200115a3e012d330200115a3e481f9302ffffff","2021-04-05T17:51:07.159Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:10.957Z","277ACAC128203005","0","91","9328","1137064","2","20","1137417","0e","255","ff1677912df5cc0e00115b090011599f481f93020011599f93289302001159a801ba1601001159a8481f7602001159a893285b02001159b201ba3302ffffff","2021-04-05T17:56:18.957Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:19.138Z","277ACAC128203005","0","147","481F","1137130","2","7","1137418","0e","255","ff1677912df5cc0e00115b0a001159d701ba7602001159e001ba1601001159e0481f7602001159e093283302001159ea01ba3302001159ea481f9302ffffff","2021-04-05T17:55:22.138Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:46:20.957Z","277ACAC128203005","0","51","01BA","1137074","2","20","1137417","0e","255","ff1677912df5cc0e00115b090011599f481f93020011599f93289302001159a801ba1601001159a8481f7602001159a893285b02001159b201ba3302ffffff","2021-04-05T17:56:18.957Z","HELIUM","14"
