,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
184,0,26,012D,0,2,385,270
185,0,26,012D,0,2,385,270
186,0,51,012D,0,2,367,261
212,0,26,012D,0,1,267,245
214,0,147,012D,0,3,507,286
219,0,147,012D,0,3,474,258
221,0,51,012D,0,3,451,239
223,0,147,012D,0,3,437,289
225,0,51,012D,0,2,414,330
228,0,26,012D,2,2,474,432
231,0,147,012D,2,2,451,414
235,0,147,012D,1,1,419,387
239,0,147,012D,1,0,358,358
260,0,147,012D,2,3,551,296
267,0,118,012D,3,2,271,232
269,0,91,012D,2,3,505,250
272,0,147,012D,2,0,204,204
273,0,26,012D,2,0,195,195
276,0,147,012D,3,1,197,178
282,0,51,012D,3,1,151,142
284,0,51,012D,3,1,142,133
285,0,147,012D,3,1,132,123
287,0,51,012D,2,0,114,114
289,0,51,012D,2,0,105,105
292,0,51,012D,2,0,91,87
294,0,147,012D,1,3,300,122
423,0,147,012D,0,3,1150,895
479,0,147,012D,2,2,207,170
481,0,147,012D,2,1,188,161
486,0,147,012D,2,1,156,134
490,1,22,012D,2,1,116,98
492,0,147,012D,2,1,101,88
496,0,26,012D,2,0,69,61
497,0,147,012D,2,0,60,52
499,0,26,012D,2,0,45,42
500,0,51,012D,2,0,36,33
501,0,147,012D,3,0,77,77
506,0,91,012D,3,2,153,40
522,0,51,012D,2,2,1016,977
524,0,147,012D,2,2,997,958
527,0,147,012D,2,1,970,941
530,1,22,012D,2,1,946,922
531,0,147,012D,2,1,937,913
533,0,26,012D,1,1,910,895
536,0,147,012D,1,1,887,877
538,0,147,012D,1,1,878,868
540,0,51,012D,1,0,863,859
545,1,22,012D,1,3,1103,867
548,0,147,012D,1,3,1079,849
580,0,147,012D,1,1,558,540
583,0,26,012D,1,1,545,531
589,0,147,012D,0,0,485,485
590,0,147,012D,0,0,475,475
591,0,26,012D,0,0,466,466
596,0,147,012D,1,3,714,479
600,0,91,012D,1,3,682,452
612,0,51,012D,1,3,593,378
614,0,147,012D,2,0,361,361
619,0,147,012D,1,3,539,334
620,0,53,012D,0,3,525,324
622,0,147,012D,2,0,315,315
625,1,22,012D,2,1,315,297
626,1,22,012D,2,1,315,297
635,0,26,012D,2,0,242,242
645,0,118,012D,0,2,352,221
650,0,118,012D,0,2,312,194
655,0,147,012D,0,0,279,275
657,0,147,012D,0,0,269,265
659,0,91,012D,0,0,260,256
661,0,147,012D,1,0,297,297
663,0,26,012D,3,2,337,280
668,0,53,012D,3,2,304,252
671,0,51,012D,2,2,282,235
672,0,147,012D,2,2,272,225
675,0,93,012D,2,2,249,207
678,0,51,012D,1,3,269,75
681,0,51,012D,0,3,217,48
684,0,51,012D,0,3,198,29
692,0,147,012D,0,1,167,158
693,0,51,012D,0,0,149,149
695,0,51,012D,0,0,143,140
696,0,147,012D,0,0,134,131
697,0,147,012D,2,0,163,163
700,0,51,012D,2,0,144,144
703,0,51,012D,3,2,169,117
707,0,147,012D,3,2,145,98
708,0,147,012D,2,0,90,90
713,0,122,012D,2,2,100,63
718,0,147,012D,2,0,35,35
721,0,26,012D,2,1,44,17
722,0,147,012D,2,1,35,8
723,0,147,012D,1,1,640,626
724,0,118,012D,1,1,627,618
725,0,147,012D,1,1,618,609
727,0,147,012D,1,0,594,590
729,0,147,012D,2,0,627,627
732,0,147,012D,2,0,564,564
733,0,51,012D,2,3,855,600
739,0,51,012D,1,3,800,545
742,0,147,012D,1,3,782,527
747,0,147,012D,1,3,764,509
748,0,118,012D,1,3,754,499
755,0,26,012D,2,0,436,436
761,0,147,012D,0,3,628,399
765,0,118,012D,0,3,610,381
773,0,26,012D,0,2,557,457
775,0,147,012D,0,1,527,508
776,0,147,012D,0,1,527,508
777,0,91,012D,1,1,567,549
779,0,51,012D,3,2,634,580
781,0,51,012D,3,2,624,570
784,0,51,012D,2,0,552,552
786,0,147,012D,3,2,583,534
788,0,51,012D,3,2,569,525
794,0,118,012D,1,1,24,6
799,0,51,012D,3,1,494,465
802,0,51,012D,3,1,475,446
803,0,51,012D,3,2,75,18
804,0,147,012D,3,2,65,8
809,0,51,012D,3,1,406,387
811,0,51,012D,2,1,392,378
812,0,147,012D,2,1,383,369
815,0,26,012D,2,1,360,351
816,0,147,012D,2,1,351,342
824,0,26,012D,3,2,397,349
829,0,147,012D,3,0,312,312
830,0,51,012D,3,2,342,304
843,0,51,012D,3,1,240,222
867,0,147,012D,1,3,366,148
869,0,26,012D,1,3,339,130
871,0,147,012D,1,3,325,121
872,0,51,012D,1,3,316,112
874,0,51,012D,1,3,306,102
879,0,91,012D,0,3,239,76
884,0,147,012D,0,3,185,40
903,0,147,012D,1,0,79,79
905,0,51,012D,1,1,92,69
907,0,51,012D,1,1,83,60
914,0,51,012D,1,1,46,33
915,0,26,012D,2,3,510,305
926,0,51,012D,0,2,725,636
928,0,147,012D,0,2,701,617
933,0,147,012D,0,1,669,647
935,0,51,012D,0,0,697,697
941,0,51,012D,1,1,688,670
949,0,51,012D,1,3,271,16
962,0,147,012D,1,0,593,593
964,0,51,012D,1,0,587,584
969,0,147,012D,2,0,609,609
974,0,147,012D,1,3,148,2
