,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
0,0,91,9328,3,2,691,653
5,0,147,9328,3,1,649,617
6,0,147,9328,3,1,640,608
7,0,91,9328,3,1,626,599
10,0,147,9328,3,1,608,581
12,0,51,9328,3,1,598,571
13,0,147,9328,3,0,562,562
18,0,147,9328,3,1,543,525
20,0,51,9328,3,1,534,516
24,0,147,9328,3,0,480,480
26,0,51,9328,3,0,461,461
29,0,147,9328,3,0,450,442
32,0,147,9328,3,0,468,468
38,0,51,9328,3,2,488,431
43,0,91,9328,3,2,456,404
45,0,147,9328,3,2,433,385
47,0,91,9328,3,0,376,376
53,0,147,9328,3,2,368,330
56,0,147,9328,3,2,336,303
59,0,147,9328,3,0,275,275
61,0,91,9328,3,1,293,265
63,0,147,9328,3,1,275,247
67,0,147,9328,3,1,243,220
72,0,51,9328,3,1,201,183
78,0,147,9328,3,1,147,138
83,0,51,9328,3,0,103,100
89,0,147,9328,3,2,164,107
90,0,51,9328,3,2,155,98
93,0,147,9328,3,2,131,79
101,0,147,9328,3,2,62,15
106,0,91,9328,1,3,815,589
108,0,147,9328,1,3,805,579
109,0,147,9328,0,3,792,571
114,0,147,9328,0,3,759,543
118,0,91,9328,0,3,718,507
124,0,51,9328,2,0,484,479
126,0,147,9328,2,0,474,469
128,0,51,9328,0,3,654,506
131,0,51,9328,0,3,620,477
135,0,118,9328,0,2,587,449
141,0,147,9328,0,0,525,522
142,0,51,9328,0,0,515,512
144,0,147,9328,2,2,602,554
147,0,147,9328,2,2,579,536
148,0,147,9328,1,0,527,527
150,0,91,9328,1,0,517,517
152,0,147,9328,2,2,538,500
154,0,147,9328,2,2,519,481
156,0,147,9328,2,2,504,471
157,0,91,9328,2,1,491,463
161,0,91,9328,1,0,435,435
163,0,147,9328,1,0,416,416
165,0,91,9328,1,1,430,407
166,0,147,9328,1,1,417,399
170,0,51,9328,1,1,393,380
171,0,147,9328,1,1,384,371
172,0,147,9328,1,0,362,362
174,0,147,9328,1,0,362,362
180,0,147,9328,1,0,342,334
187,0,147,9328,0,2,358,252
190,0,147,9328,0,2,330,234
192,0,147,9328,1,3,589,334
196,0,51,9328,1,3,580,325
202,0,147,9328,2,3,617,362
205,0,51,9328,0,3,553,298
207,0,91,9328,2,3,608,353
210,0,147,9328,0,1,276,254
211,0,51,9328,0,3,530,304
213,0,147,9328,0,3,520,294
217,0,147,9328,0,3,483,267
218,0,147,9328,0,3,470,258
226,0,147,9328,0,1,402,390
227,0,147,9328,0,1,393,381
233,0,51,9328,2,2,441,404
236,0,147,9328,1,1,414,387
241,0,147,9328,1,1,363,341
244,0,147,9328,1,1,344,331
245,0,147,9328,1,1,344,331
250,0,147,9328,1,0,312,304
251,0,51,9328,1,0,299,296
257,0,147,9328,2,0,269,269
258,0,51,9328,2,3,560,305
264,0,147,9328,3,2,281,242
265,0,147,9328,3,2,266,232
266,0,147,9328,2,3,514,259
275,0,147,9328,3,1,211,187
277,0,51,9328,2,0,169,169
279,0,147,9328,2,0,160,160
281,0,147,9328,3,1,164,150
286,0,147,9328,2,0,123,123
295,0,147,9328,1,3,295,122
297,0,147,9328,0,3,271,103
298,0,147,9328,0,3,258,95
301,0,51,9328,0,2,419,279
305,0,147,9328,0,2,386,251
309,0,147,9328,0,0,350,350
310,0,118,9328,0,3,713,546
323,0,147,9328,2,2,389,346
331,0,147,9328,2,2,324,291
337,0,147,9328,1,1,268,245
339,0,147,9328,1,1,249,226
347,0,147,9328,1,0,179,171
349,0,118,9328,1,0,170,162
356,0,91,9328,2,0,162,162
362,0,147,9328,3,1,139,116
363,0,118,9328,3,1,126,108
368,0,147,9328,2,0,80,80
375,0,118,9328,2,0,32,24
382,0,51,9328,3,1,633,619
385,0,118,9328,3,1,601,592
390,0,91,9328,3,0,568,564
397,0,51,9328,0,2,699,563
404,0,91,9328,0,2,626,508
408,0,91,9328,0,2,593,480
412,0,118,9328,0,2,548,510
419,0,118,9328,0,0,518,515
436,0,118,9328,0,3,514,352
440,0,118,9328,1,3,691,436
444,0,91,9328,2,3,746,491
447,0,118,9328,1,3,663,408
473,0,118,9328,0,3,484,334
483,0,118,9328,2,1,179,152
487,0,118,9328,2,1,147,125
503,0,147,9328,3,0,67,67
513,0,118,9328,3,0,13,13
518,0,118,9328,2,2,1057,1004
521,0,147,9328,2,2,1021,977
523,0,147,9328,2,2,1007,968
525,0,147,9328,2,2,992,958
529,0,91,9328,2,1,951,922
557,0,147,9328,2,0,785,785
578,0,118,9328,0,1,517,498
579,0,118,9328,0,1,517,498
592,0,118,9328,0,0,470,467
618,0,91,9328,0,3,535,334
627,0,147,9328,2,1,306,288
628,0,147,9328,2,1,306,288
630,0,118,9328,2,1,296,278
631,0,118,9328,2,1,296,278
637,0,147,9328,2,0,228,224
641,0,147,9328,0,2,385,249
654,0,118,9328,0,2,271,225
658,0,118,9328,1,0,316,316
670,0,118,9328,1,0,234,234
680,0,91,9328,0,3,230,57
685,0,118,9328,0,2,193,84
687,0,118,9328,0,1,185,176
689,0,147,9328,0,1,176,167
706,0,118,9328,2,0,99,99
711,0,147,9328,2,3,427,172
712,0,147,9328,3,2,113,71
716,0,118,9328,2,1,85,53
720,0,147,9328,2,0,25,25
751,0,118,9328,1,3,719,464
756,0,147,9328,1,3,691,436
758,0,147,9328,0,3,652,418
760,0,118,9328,0,3,643,409
763,0,118,9328,2,0,385,382
764,0,118,9328,0,3,606,382
766,0,118,9328,2,0,385,382
771,0,118,9328,0,2,567,467
778,0,147,9328,3,2,647,588
780,0,91,9328,3,2,638,579
787,0,147,9328,3,2,578,534
791,0,147,9328,1,1,42,24
795,0,147,9328,1,1,19,6
796,0,147,9328,3,2,517,482
797,0,91,9328,2,0,474,474
800,0,147,9328,3,1,484,455
801,0,51,9328,3,1,471,447
806,0,147,9328,2,0,405,405
807,0,147,9328,3,1,416,397
813,0,91,9328,2,1,369,360
817,0,147,9328,2,0,342,342
818,0,91,9328,2,0,337,333
822,0,147,9328,3,2,421,368
823,0,51,9328,3,2,411,358
825,0,147,9328,3,2,387,339
831,0,91,9328,3,0,303,303
832,0,147,9328,3,2,333,295
833,0,147,9328,3,2,318,285
836,0,147,9328,3,1,295,267
837,0,147,9328,3,0,258,258
839,0,118,9328,3,1,272,249
842,0,147,9328,3,1,253,230
844,0,118,9328,3,1,235,222
845,0,147,9328,3,1,226,213
846,0,147,9328,3,0,203,203
848,0,91,9328,3,0,203,195
851,0,147,9328,3,0,184,176
856,0,147,9328,1,3,437,203
862,0,147,9328,1,3,399,175
863,0,118,9328,1,3,390,166
866,0,147,9328,1,3,361,148
875,0,147,9328,1,3,293,94
877,0,147,9328,0,3,265,76
882,0,147,9328,0,3,198,49
883,0,147,9328,0,3,203,49
885,0,51,9328,0,2,172,32
887,0,147,9328,0,2,162,22
889,0,147,9328,0,2,139,69
890,0,91,9328,0,2,130,60
892,0,147,9328,0,0,106,101
896,0,147,9328,2,2,176,134
904,0,147,9328,1,1,102,79
906,0,147,9328,1,1,79,61
909,0,147,9328,1,1,65,52
913,0,147,9328,1,0,34,34
916,0,147,9328,1,0,25,25
917,0,91,9328,1,0,23,15
929,0,147,9328,0,2,706,617
930,0,118,9328,0,1,688,666
