"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:34:18.505Z","277ACAC128203005","0","26","481F","1136499","2","113","1136515","0e","42","2a1677912df5cc0e0011578300115773481f1a020011577c01ba3302ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff","2021-04-05T17:35:16.505Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:18.847Z","277ACAC128203005","0","147","9328","1136499","2","114","1136514","0e","47","2f1677912df5cc0e001157820011576001ba33020011576a932893020011576a481f93020011576a01ba76020011577301ba16010011577393289302ffffff","2021-04-05T17:35:20.847Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:27.505Z","277ACAC128203005","0","51","01BA","1136508","2","113","1136515","0e","42","2a1677912df5cc0e0011578300115773481f1a020011577c01ba3302ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff","2021-04-05T17:35:16.505Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:36.925Z","277ACAC128203005","0","147","481F","1136522","2","23","1137120","0e","0","001677912df5cc0e001159e0000b365a01ba1a02000b3664932893020011578a932893020011578a01ba76020011578a481f93020011579301ba1601ffffff","2021-04-05T17:44:34.925Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:41.206Z","277ACAC128203005","0","147","481F","1136522","2","23","1137120","0e","0","001677912df5cc0e001159e0000b365a01ba1a02000b3664932893020011578a932893020011578a01ba76020011578a481f93020011579301ba1601ffffff","2021-04-05T17:44:39.206Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:45.925Z","277ACAC128203005","0","22","01BA","1136531","1","23","1137120","0e","0","001677912df5cc0e001159e0000b365a01ba1a02000b3664932893020011578a932893020011578a01ba76020011578a481f93020011579301ba1601ffffff","2021-04-05T17:44:34.925Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:47.020Z","277ACAC128203005","0","91","9328","1136531","2","8","1137120","0e","226","e21677912df5cc0e001159e000115793481f1a020011579393285b020011579d01ba33020011579d93289302001157a6481f9302001157a601ba7602ffffff","2021-04-05T17:48:22.020Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:50.206Z","277ACAC128203005","0","22","01BA","1136531","1","23","1137120","0e","0","001677912df5cc0e001159e0000b365a01ba1a02000b3664932893020011578a932893020011578a01ba76020011578a481f93020011579301ba1601ffffff","2021-04-05T17:44:39.206Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:34:57.020Z","277ACAC128203005","0","147","9328","1136541","2","8","1137120","0e","226","e21677912df5cc0e001159e000115793481f1a020011579393285b020011579d01ba33020011579d93289302001157a6481f9302001157a601ba7602ffffff","2021-04-05T17:48:22.020Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:05.600Z","277ACAC128203005","0","147","9328","1136550","2","7","1137121","0e","221","dd1677912df5cc0e001159e1001157a693289302001157af93287602001157af481f1a02001157af01ba1601001157b901ba3302001157c2481f9302ffffff","2021-04-05T17:48:17.600Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:06.020Z","277ACAC128203005","0","118","01BA","1136550","2","8","1137120","0e","226","e21677912df5cc0e001159e000115793481f1a020011579393285b020011579d01ba33020011579d93289302001157a6481f9302001157a601ba7602ffffff","2021-04-05T17:48:22.020Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:14.600Z","277ACAC128203005","0","22","01BA","1136559","1","7","1137121","0e","221","dd1677912df5cc0e001159e1001157a693289302001157af93287602001157af481f1a02001157af01ba1601001157b901ba3302001157c2481f9302ffffff","2021-04-05T17:48:17.600Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:24.600Z","277ACAC128203005","0","51","01BA","1136569","2","7","1137121","0e","221","dd1677912df5cc0e001159e1001157a693289302001157af93287602001157af481f1a02001157af01ba1601001157b901ba3302001157c2481f9302ffffff","2021-04-05T17:48:17.600Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:33.600Z","277ACAC128203005","0","147","481F","1136578","2","7","1137121","0e","221","dd1677912df5cc0e001159e1001157a693289302001157af93287602001157af481f1a02001157af01ba1601001157b901ba3302001157c2481f9302ffffff","2021-04-05T17:48:17.600Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:34.159Z","277ACAC128203005","0","147","9328","1136578","2","6","1137121","0e","216","d81677912df5cc0e001159e1001157c201ba9302001157c293289302001157cb93287602001157cb481f1a02001157cb01ba1601001157d501ba3302ffffff","2021-04-05T17:48:13.159Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:43.159Z","277ACAC128203005","0","22","01BA","1136587","1","6","1137121","0e","216","d81677912df5cc0e001159e1001157c201ba9302001157c293289302001157cb93287602001157cb481f1a02001157cb01ba1601001157d501ba3302ffffff","2021-04-05T17:48:13.159Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:35:53.159Z","277ACAC128203005","0","51","01BA","1136597","2","6","1137121","0e","216","d81677912df5cc0e001159e1001157c201ba9302001157c293289302001157cb93287602001157cb481f1a02001157cb01ba1601001157d501ba3302ffffff","2021-04-05T17:48:13.159Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:01.741Z","277ACAC128203005","0","147","01BA","1136606","2","5","1137122","0e","211","d31677912df5cc0e001159e2001157de93289302001157de481f9302001157de01ba9302001157e7481f3302001157e701ba1601001157e793285b02ffffff","2021-04-05T17:48:08.741Z","HELIUM","14"
