,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
1,0,26,01BA,3,2,682,644
4,0,26,01BA,3,0,617,617
9,0,26,01BA,3,1,617,590
14,0,118,01BA,3,0,552,552
17,0,26,01BA,3,1,557,535
21,0,26,01BA,3,1,525,507
22,0,118,01BA,3,1,510,497
23,1,22,01BA,3,1,501,488
27,1,22,01BA,3,0,469,461
28,0,26,01BA,3,0,460,452
31,0,26,01BA,3,0,427,424
33,0,118,01BA,3,0,418,415
34,1,22,01BA,3,0,459,459
35,0,26,01BA,3,0,449,449
37,0,147,01BA,3,2,497,440
40,0,26,01BA,3,2,478,421
41,0,118,01BA,3,2,465,413
44,0,26,01BA,3,2,442,394
48,0,51,01BA,3,0,366,366
51,0,26,01BA,3,2,382,339
52,0,147,01BA,3,2,373,330
54,1,22,01BA,3,2,359,321
55,0,51,01BA,3,2,349,311
58,0,26,01BA,3,0,284,284
62,0,26,01BA,3,1,284,256
64,1,22,01BA,3,1,261,238
66,0,26,01BA,3,1,252,229
68,1,22,01BA,3,0,210,210
69,0,51,01BA,3,0,201,201
70,0,118,01BA,3,1,211,193
73,0,51,01BA,3,1,192,174
74,0,51,01BA,3,1,183,165
77,0,51,01BA,3,1,159,146
79,1,22,01BA,3,1,137,128
80,0,78,01BA,3,0,119,119
81,0,147,01BA,3,0,109,109
82,1,22,01BA,3,0,100,100
84,0,51,01BA,3,0,94,91
85,0,118,01BA,3,0,84,81
86,1,22,01BA,3,0,125,125
87,0,26,01BA,3,0,116,116
91,0,26,01BA,3,2,146,89
94,1,22,01BA,3,2,122,70
95,0,51,01BA,3,2,113,61
96,0,147,01BA,3,0,52,52
98,0,51,01BA,3,2,81,34
99,0,118,01BA,3,2,71,24
102,0,51,01BA,3,2,49,7
105,1,22,01BA,2,0,589,589
107,1,22,01BA,2,0,589,589
110,0,118,01BA,1,3,796,570
111,1,22,01BA,0,3,783,562
112,0,51,01BA,0,3,773,552
115,1,22,01BA,0,3,750,534
116,0,51,01BA,0,3,740,524
117,0,147,01BA,0,3,727,516
119,0,51,01BA,2,1,507,497
120,0,51,01BA,2,1,507,497
123,1,22,01BA,2,1,489,479
125,1,22,01BA,2,1,489,479
127,0,147,01BA,2,0,465,460
129,0,118,01BA,0,3,644,496
