,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
2,0,147,481F,3,0,636,636
3,0,26,481F,3,0,626,626
8,0,26,481F,3,1,630,598
11,0,26,481F,3,0,571,571
15,0,147,481F,3,1,575,553
16,0,26,481F,3,1,566,544
19,0,147,481F,3,1,547,525
25,0,147,481F,3,0,470,470
30,0,51,481F,3,0,437,434
36,0,147,481F,3,0,440,440
39,0,147,481F,3,2,474,422
42,0,51,481F,3,2,452,404
46,0,26,481F,3,2,424,376
49,0,147,481F,3,0,357,357
50,0,51,481F,3,2,392,349
57,0,26,481F,3,2,327,294
60,0,26,481F,3,0,265,265
65,0,26,481F,3,1,265,237
71,0,147,481F,3,0,192,192
75,0,147,481F,3,1,178,165
76,0,26,481F,3,1,168,155
88,0,147,481F,3,0,106,106
92,0,147,481F,3,2,136,79
97,0,26,481F,3,0,43,43
100,0,26,481F,3,2,58,16
103,0,147,481F,2,0,598,598
104,0,147,481F,2,0,598,598
113,0,147,481F,0,3,764,543
121,0,147,481F,2,1,498,488
122,0,147,481F,2,1,498,488
133,0,147,481F,0,3,602,459
138,0,147,481F,0,2,557,490
139,0,51,481F,0,2,547,480
143,0,147,481F,2,2,611,563
146,0,51,481F,2,2,592,544
149,0,147,481F,2,2,570,527
159,0,147,481F,2,1,482,454
160,0,147,481F,2,1,472,444
162,0,147,481F,1,0,426,426
167,0,147,481F,1,1,421,398
169,0,26,481F,1,1,398,380
175,0,147,481F,1,0,353,353
176,0,147,481F,1,0,353,353
177,0,147,481F,1,0,344,344
179,0,147,481F,1,0,344,344
182,0,147,481F,0,2,394,279
183,0,147,481F,0,2,394,279
188,0,26,481F,0,2,344,244
189,0,147,481F,1,3,598,343
194,0,26,481F,2,3,635,380
195,0,147,481F,0,2,321,225
197,0,147,481F,1,3,571,316
201,0,51,481F,0,2,307,216
203,0,147,481F,1,3,562,307
206,0,147,481F,0,2,297,206
208,0,147,481F,0,3,543,288
222,0,147,481F,0,3,446,298
229,0,26,481F,0,1,383,371
232,0,118,481F,1,1,437,405
238,0,147,481F,1,0,368,368
246,0,51,481F,1,0,323,323
249,0,147,481F,1,0,314,314
252,0,51,481F,1,0,303,295
253,0,147,481F,1,0,290,287
254,0,147,481F,1,0,280,277
256,0,26,481F,2,0,323,323
259,0,118,481F,2,0,259,259
262,0,147,481F,2,3,542,287
263,0,51,481F,2,3,532,277
268,0,51,481F,3,2,257,223
270,0,147,481F,2,0,214,214
280,0,118,481F,2,0,150,150
290,0,147,481F,2,0,100,96
291,0,26,481F,1,3,319,141
296,0,26,481F,1,3,286,113
302,1,22,481F,0,2,414,279
304,0,26,481F,0,2,395,260
312,1,22,481F,0,0,332,332
314,0,26,481F,1,0,382,382
316,0,147,481F,1,0,373,373
317,0,147,481F,0,3,682,528
319,0,26,481F,2,2,413,365
320,1,22,481F,0,3,673,519
327,0,118,481F,2,2,357,319
329,1,22,481F,2,2,347,309
332,0,26,481F,2,2,314,281
333,0,147,481F,2,2,305,272
336,1,22,481F,2,1,281,253
340,0,26,481F,1,1,244,226
341,0,51,481F,1,1,235,217
342,1,22,481F,1,1,222,209
345,1,22,481F,1,1,203,190
351,0,147,481F,1,0,147,144
353,1,95,481F,0,3,423,180
355,0,26,481F,2,0,171,171
357,1,95,481F,2,0,152,152
358,0,51,481F,3,1,171,144
361,1,22,481F,3,1,152,125
364,0,147,481F,3,1,130,107
369,0,26,481F,2,0,70,70
370,0,91,481F,2,0,61,61
373,0,26,481F,2,0,42,34
377,0,118,481F,2,0,9,6
378,0,147,481F,3,1,665,647
380,0,26,481F,3,1,656,638
381,0,147,481F,3,1,643,629
383,0,26,481F,3,1,620,611
384,0,147,481F,3,1,611,602
386,0,147,481F,3,0,592,592
387,0,26,481F,3,0,583,583
388,0,147,481F,3,0,573,573
391,0,26,481F,3,0,559,555
392,0,147,481F,3,0,549,545
394,0,147,481F,3,0,540,536
398,0,26,481F,0,2,690,554
399,0,147,481F,0,2,680,544
403,0,147,481F,0,2,635,517
406,0,147,481F,0,2,612,499
409,1,95,481F,0,2,579,471
410,0,53,481F,0,2,569,461
413,0,26,481F,0,2,539,501
415,1,22,481F,0,0,550,542
424,0,26,481F,0,3,1140,885
428,0,147,481F,1,3,727,472
431,1,22,481F,1,3,718,463
432,0,147,481F,0,3,524,362
437,0,26,481F,1,3,700,445
438,0,26,481F,1,3,691,436
439,0,122,481F,0,3,505,343
443,1,22,481F,0,3,496,334
445,1,68,481F,1,3,672,417
448,0,53,481F,2,3,736,481
452,1,22,481F,0,3,464,316
456,1,95,481F,0,2,428,289
458,0,26,481F,0,2,419,280
463,0,147,481F,0,0,363,357
464,1,95,481F,0,0,354,348
469,0,147,481F,0,3,530,371
475,0,53,481F,0,3,460,315
476,0,53,481F,0,3,451,306
477,0,93,481F,0,2,438,298
478,0,91,481F,2,2,217,180
480,0,91,481F,2,1,197,170
482,0,147,481F,2,0,153,153
485,0,147,481F,2,0,134,134
488,0,26,481F,2,1,137,115
491,0,147,481F,2,1,111,98
495,0,26,481F,2,0,61,61
498,0,147,481F,2,0,50,42
504,0,26,481F,3,2,176,59
505,0,147,481F,3,2,167,50
508,0,26,481F,3,2,144,31
510,0,147,481F,3,2,131,23
511,0,147,481F,3,2,66,23
516,0,147,481F,2,2,1067,1014
