"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T19:03:16.137Z","277ACAC128203005","0","147","01BA","1141864","2","3","1142152","0e","140","8c1677912df5cc0e00116d8800116c5e01ba1a0200116c5e481f5d0200116c68481f1a0200116c6801ba930200116c7101ba160100116c7193283302ffffff","2021-04-05T19:10:24.137Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:25.137Z","277ACAC128203005","0","51","9328","1141873","2","3","1142152","0e","140","8c1677912df5cc0e00116d8800116c5e01ba1a0200116c5e481f5d0200116c68481f1a0200116c6801ba930200116c7101ba160100116c7193283302ffffff","2021-04-05T19:10:24.137Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:25.757Z","277ACAC128203005","0","22","481F","1141873","1","2","1142152","0e","135","871677912df5cc0e00116d8800116c71481f160100116c7a481f160100116c7a01ba330200116c8401ba930200116c84481f1a0200116c8d93289302ffffff","2021-04-05T19:10:19.757Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:34.757Z","277ACAC128203005","0","51","01BA","1141882","2","2","1142152","0e","135","871677912df5cc0e00116d8800116c71481f160100116c7a481f160100116c7a01ba330200116c8401ba930200116c84481f1a0200116c8d93289302ffffff","2021-04-05T19:10:19.757Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:44.757Z","277ACAC128203005","0","26","481F","1141892","2","2","1142152","0e","135","871677912df5cc0e00116d8800116c71481f160100116c7a481f160100116c7a01ba330200116c8401ba930200116c84481f1a0200116c8d93289302ffffff","2021-04-05T19:10:19.757Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:53.757Z","277ACAC128203005","0","147","9328","1141901","2","2","1142152","0e","135","871677912df5cc0e00116d8800116c71481f160100116c7a481f160100116c7a01ba330200116c8401ba930200116c84481f1a0200116c8d93289302ffffff","2021-04-05T19:10:19.757Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:03:53.956Z","277ACAC128203005","0","22","01BA","1141901","1","1","1142210","0e","72","481677912df5cc0e00116dc200116c8d481f760200116c8d01ba160100116c96481f160100116c9601ba1a0200116ca0481f1a0200116ca001ba9302ffffff","2021-04-05T19:10:14.956Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:04:02.956Z","277ACAC128203005","0","26","01BA","1141910","2","1","1142210","0e","72","481677912df5cc0e00116dc200116c8d481f760200116c8d01ba160100116c96481f160100116c9601ba1a0200116ca0481f1a0200116ca001ba9302ffffff","2021-04-05T19:10:14.956Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:04:12.956Z","277ACAC128203005","0","147","01BA","1141920","2","1","1142210","0e","72","481677912df5cc0e00116dc200116c8d481f760200116c8d01ba160100116c96481f160100116c9601ba1a0200116ca0481f1a0200116ca001ba9302ffffff","2021-04-05T19:10:14.956Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:04:19.913Z","277ACAC128203005","0","147","9328","1141920","2","0","1142270","0e","0","001677912df5cc0e00116dfe00116ca09328930200116ca99328930200116ca9481f930200116ca901ba160100116cb201ba1a0200116cb2481f1601ffffff","2021-04-05T19:10:09.913Z","HELIUM","14"
